listing_id,title,company,location,rating,pay_low,pay_median,pay_high,pay_currency,easy_apply,industry,company_size,job_source,description,link
1010024469805,Legal Solutions Architect (Libra - Legal AI Assistant) (m/f/d),Libra Technology GmbH,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/legal-solutions-architect-libra-legal-ai-assistant-mfd-wolters-kluwer-JV_IC2622109_KO0,54_KE55,69.htm?jl=1010024469805"
1010029718511,Senior AI Automation Consultant (all genders),EXXETA,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-ai-automation-consultant-all-genders-exxeta-JV_IC2622109_KO0,43_KE44,50.htm?jl=1010029718511"
1010123850128,Senior Software Developer - AI Trainer,DataAnnotation,Deutschland,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-software-developer-ai-trainer-dataannotation-JV_KO0,36_KE37,51.htm?jl=1010123850128"
1010123850081,Senior Software Developer - AI Trainer,DataAnnotation,Deutschland,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-software-developer-ai-trainer-dataannotation-JV_KO0,36_KE37,51.htm?jl=1010123850081"
1010065045312,Lecturer Cyber Security Attack Models and Auditing (m/f/d),IU Internationale Hochschule,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/lecturer-cyber-security-attack-models-and-auditing-mfd-iu-internationale-hochschule-JV_IC2622109_KO0,54_KE55,83.htm?jl=1010065045312"
1010088418786,Lecturer Cyber Security Secure Networking (m/f/d),IU Internationale Hochschule,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/lecturer-cyber-security-secure-networking-mfd-iu-internationale-hochschule-JV_IC2622109_KO0,45_KE46,74.htm?jl=1010088418786"
1010065045331,Lecturer Cyber Security Attack Scenarios and Incident Response (m/f/d),IU Internationale Hochschule,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/lecturer-cyber-security-attack-scenarios-and-incident-response-mfd-iu-internationale-hochschule-JV_IC2622109_KO0,66_KE67,95.htm?jl=1010065045331"
1009966602820,Lecturer AI Reinforcement Learning (m/f/d),IU Internationale Hochschule,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/lecturer-ai-reinforcement-learning-mfd-iu-internationale-hochschule-JV_IC2622109_KO0,38_KE39,67.htm?jl=1009966602820"
1010061386065,IT Projektmanager - inhouse (m/w/d) (hybrid),Wolters Kluwer,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/it-projektmanager-inhouse-mwd-hybrid-wolters-kluwer-JV_IC2622109_KO0,36_KE37,51.htm?jl=1010061386065"
1010038018276,Senior Innovation Consultant – Schwerpunkt KI & Industry (all genders),EXXETA,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-innovation-consultant-schwerpunkt-ki-industry-all-genders-exxeta-JV_IC2622109_KO0,64_KE65,71.htm?jl=1010038018276"
